coh_tot,coh_avg,coh_avg_pond,topics,seed
0.3196254092509523,0.0159812704625476,0.0499999999999999,20,423
0.1233336808859812,0.006166684044299,0.05,20,424
-0.3831059509890111,-0.0182431405232862,0.0476190476190476,21,420
-0.563046265162543,-0.026811726912502,0.0476190476190476,21,421
0.2581531412508929,0.0122930067262329,0.0476190476190476,21,422
0.351843887877338,0.0167544708513018,0.0476190476190476,21,423
-0.010255968682599,-0.0004883794610761,0.0476190476190476,21,424
-0.2865565003207363,-0.0130252954691243,0.0454545454545454,22,420
-0.7259073636121623,-0.0329957892550982,0.0454545454545454,22,421
0.875588177793917,0.0397994626269962,0.0454545454545454,22,422
0.1265389377285287,0.0057517698967513,0.0454545454545454,22,423
-0.1468675142977025,-0.006675796104441,0.0454545454545454,22,424
-0.526898824519836,-0.0229086445443406,0.0434782608695652,23,420
