index,year,topic,prob,prob,prob,prob
,,,mean,median,std,count
78,1984,8,0.16349991038441658,0.13360899686813354,0.15372475391951784,7
79,1984,9,0.022344697266817093,0.022344697266817093,0.0045775270699196895,2
80,1989,0,0.48290912493724714,0.550000011920929,0.17328343758189452,22
81,1989,1,0.05000000172539761,0.05000000074505806,3.4774044082318018e-09,19
82,1989,2,0.25348386850128785,0.19029861688613892,0.2313861663856389,47
83,1989,3,0.07707627514998118,0.05000000447034836,0.07194762596110613,30
84,1989,4,0.07086613547289744,0.05000000447034836,0.05972654009413506,32
85,1989,5,0.129170542024076,0.07380180433392525,0.1061562729238998,40
86,1989,6,0.17628520168364048,0.1135680302977562,0.1753080716172882,40
87,1989,7,0.047683564268729904,0.05000000074505806,0.00796306670510631,22
88,1989,8,0.12562044348680612,0.05000000447034836,0.11250343043384578,33
89,1989,9,0.04471862885671166,0.05000000074505806,0.012419674362187424,26
90,1991,0,0.21811966225504875,0.11288021504878998,0.21006744258219523,5
91,1991,1,0.033235812559723854,0.03543534502387047,0.01968802624676075,4
92,1991,2,0.3360529741958568,0.26059590280056,0.2303304731132611,38
93,1991,3,0.1159179992042482,0.08630820363759995,0.08035307345230884,20
94,1991,4,0.2705610918448023,0.25952646136283875,0.190114258407934,23
95,1991,5,0.2076966806780547,0.17746318876743317,0.14464599753499563,32
96,1991,6,0.276322282711044,0.2728068381547928,0.14499318366209976,40
97,1991,7,0.03983609192073345,0.04020757880061865,0.01175193457173959,4
98,1991,8,0.14587577000260354,0.10441138595342636,0.10155126603893175,25
99,1991,9,0.042473772820085284,0.033690668642520905,0.03143674978615223,10
100,1993,0,0.16223181609530002,0.04694558307528496,0.23979828003032275,8
101,1993,1,0.04198935441672802,0.046075012534856796,0.011405010838884415,4
102,1993,2,0.3444914022111334,0.2986844331026077,0.2518178966903747,32
103,1993,3,0.07581164716528012,0.05000000447034836,0.054568052984219795,13
104,1993,4,0.15112602623069987,0.1114196702837944,0.1124135996068254,17
105,1993,5,0.24254863100747268,0.24420711398124695,0.15788315182188545,30
106,1993,6,0.35248033011831886,0.3777083158493042,0.194623433993709,41
107,1993,7,0.054266768787056205,0.046414878219366074,0.04916077409490582,10
108,1993,8,0.13235249010653333,0.1266382932662964,0.05538184848639197,29
109,1993,9,0.03791271541267634,0.02838428970426321,0.028358701951567283,10
110,1994,0,,,,0
111,1994,1,0.014893827959895134,0.014893827959895134,,1
112,1994,2,0.08800779730081558,0.08188772201538086,0.05165247401012473,5
113,1994,3,0.12307596206665039,0.10060334205627441,0.11799146338619321,7
114,1994,4,0.31591421128673985,0.3619205057621002,0.1578069763230686,11
115,1994,5,0.30563185702670703,0.30913934111595154,0.15286500872019548,11
116,1994,6,0.2864077761769295,0.18031517416238785,0.24566963594788857,10
117,1994,7,0.08001084874073665,0.08857612311840057,0.038789949809508825,3
118,1994,8,0.09834205607573192,0.08300085365772247,0.06643914324921829,6
119,1994,9,0.026545951142907143,0.026545951142907143,,1
120,1995,0,0.41245960040638846,0.550000011920929,0.23678784167666567,15
121,1995,1,0.04701296784556829,0.05000000074505806,0.007294316078776874,13
122,1995,2,0.3240456936711615,0.2916916012763977,0.28050460405646754,33
123,1995,3,0.07738590473309159,0.05000000074505806,0.05811274928830889,16
124,1995,4,0.0752467445563525,0.05000000074505806,0.06225767626350627,16
125,1995,5,0.1535452264158622,0.062083739787340164,0.17158023617750928,23
126,1995,6,0.21058477988017016,0.12852472066879272,0.17558242660557763,29
127,1995,7,0.06097465368608634,0.05000000074505806,0.03220663037730459,15
128,1995,8,0.07546125219336577,0.05000000074505806,0.05790294441324024,21
129,1995,9,0.04490022795895735,0.05000000074505806,0.010913782139266888,15
130,1997,0,0.1904996304279741,0.10071026533842087,0.213423439767677,17
131,1997,1,0.04062640379803876,0.039602793753147125,0.02310361839583447,12
132,1997,2,0.3028297448065132,0.3191163241863251,0.23304751570521826,40
133,1997,3,0.14839956862851977,0.08929239958524704,0.1326354478165736,28
134,1997,4,0.24686640799045562,0.22438287734985352,0.17803329821566358,40
135,1997,5,0.2899605876041783,0.2648938000202179,0.20324939785297036,45
136,1997,6,0.26940372300644716,0.22098015248775482,0.2211620236586461,45
137,1997,7,0.048170076005838135,0.05000000074505806,0.014038842375430339,11
138,1997,8,0.17399659721801677,0.11606098711490631,0.13954440146584224,36
139,1997,9,0.04321547201834619,0.05000000074505806,0.013988363339811205,8
140,1998,0,0.0694360681809485,0.05498811416327953,0.04422106490048621,8
141,1998,1,0.03614250331052712,0.03243637830018997,0.020375069834253516,7
142,1998,2,0.18544938874741396,0.15156077593564987,0.11667071157580094,30
143,1998,3,0.11339983076828977,0.09689616411924362,0.08442366166779404,23
144,1998,4,0.3507057904549267,0.34567879140377045,0.192362116745408,46
145,1998,5,0.24339052198863612,0.20867149531841278,0.14970335590940562,41
146,1998,6,0.3137916579310383,0.251701682806015,0.19949501452267135,35
147,1998,7,0.057958844250866344,0.030970441177487373,0.06717886145602125,7
148,1998,8,0.13753764012030192,0.10441900417208672,0.1004880449018988,28
149,1998,9,0.01868327214781727,0.01666697859764099,0.007070765484960294,7
150,1999,0,0.06833611977183157,0.04746546968817711,0.0593827721911583,18
151,1999,1,0.0403739328806599,0.043384306132793427,0.0274359278922158,3
